,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US",mm,yyyy
39,2020M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.54,12,2020
40,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,ENVIRONMENTAL SYSTEMS PROTECTION- MULTIPLE POLLUTANT SUPPORT,186319.12,REDD ENGINEERING & CONSTRUCTION INC,BUREAU OF LAND MANAGEMENT,2.94,06,2017
44,2019M11,NATURAL GAS EXTRACTION,GASOLINE ROTARY ENGINES AND COMPONENTS,0.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.65,11,2019
50,2019M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.08,01,2019
61,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,95099.03,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.79,07,2016
71,2019M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.33,10,2019
76,2016M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INFORMATION TECHNOLOGY SOFTWARE,133441.84,SCHLUMBERGER TECHNOLOGY CORPORATION,"ENERGY, DEPARTMENT OF",1.92,05,2016
80,2016M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,8507.54,"AMERESCO SELECT, INC.",DEPT OF THE ARMY,3.58,12,2016
81,2021M06,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,12750.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.23,06,2021
91,2020M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,122281.47,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.79,03,2020
92,2019M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,471278.21,"CENTERPOINT ENERGY SERVICES, INC.","VETERANS AFFAIRS, DEPARTMENT OF",2.24,12,2019
95,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,228954.18,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",1.92,05,2016
97,2016M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,50733.21,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,1.92,05,2016
104,2021M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,OTHER QC/TEST/INSPECT- SHIP AND MARINE EQUIPMENT,39512.0,"PROFESSIONAL TANK CLEANING, INC.",U.S. COAST GUARD,4.05,08,2021
105,2016M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,6276.94,LIQUIGAS SPA,DEPT OF THE ARMY,2.97,09,2016
115,2018M12,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",2906.44,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,3.98,12,2018
117,2020M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- SOIL,34563.98,"WILLBORN BROS, CO.",AGRICULTURAL RESEARCH SERVICE,1.92,09,2020
122,2019M07,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.36,07,2019
126,2019M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,392.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.94,03,2019
138,2017M09,NATURAL GAS LIQUID EXTRACTION,FUEL OILS,9914.0,D & R PROPANE INC,INDIAN HEALTH SERVICE,2.96,09,2017
143,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,04,2019
144,2019M07,NATURAL GAS EXTRACTION,MARINE HARDWARE AND HULL ITEMS,21000.0,"REIMEL MACHINE, INC.",DEPT OF THE NAVY,2.36,07,2019
148,2020M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,17397.42,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.03,01,2020
152,2021M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,12089.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",5.11,09,2021
154,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,980.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,04,2019
187,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63,05,2019
194,2018M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,800000.0,"WGL ENERGY SERVICES, INC.",U.S. COAST GUARD,2.7,03,2018
202,2021M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,700000.0,,U.S. COAST GUARD,2.56,03,2021
203,2021M04,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"SYMMETRY ENERGY SOLUTIONS, LLC",DEFENSE LOGISTICS AGENCY,2.61,04,2021
207,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"IGI RESOURCES, INC.",DEFENSE LOGISTICS AGENCY,2.96,07,2017
212,2019M08,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",0.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.22,08,2019
225,2019M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.4,06,2019
229,2020M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAPS, ATLASES, CHARTS, AND GLOBES",25000.0,"NUKA RESEARCH AND PLANNING GROUP, LLC",U.S. COAST GUARD,1.74,07,2020
235,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63,05,2019
237,2020M08,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.3,08,2020
242,2019M01,NATURAL GAS EXTRACTION,FUEL OILS,0.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",3.08,01,2019
245,2019M11,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.65,11,2019
246,2019M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.72,02,2019
249,2017M02,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",11146.0,ROGERS PETROLEUM INC.,FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.82,02,2017
253,2021M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,359177.9,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE ARMY,2.67,01,2021
259,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
271,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,38507.04,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.79,08,2016
275,2020M11,NATURAL GAS EXTRACTION,UTILITIES- GAS,29338.18,"INTERCONN RESOURCES, LLC",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.59,11,2020
276,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEFENSE LOGISTICS AGENCY,2.25,10,2020
279,2017M12,NATURAL GAS LIQUID EXTRACTION,MISCELLANEOUS OFFICE MACHINES,2282.82,"SUBURBAN PROPANE PARTNERS, L.P.",DEPT OF THE ARMY,2.76,12,2017
280,2021M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,468609.14,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.56,03,2021
282,2020M06,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,40505.02,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.61,06,2020
283,2017M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,533775.0,GAS SOUTH LLC,DEPT OF THE AIR FORCE,2.94,06,2017
297,2019M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.4,06,2019
299,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,368285.66,"CENTERPOINT ENERGY SERVICES, INC.",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS,2.86,10,2017
303,2016M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,50000.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY,1.9,04,2016
304,2020M01,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,32882.4,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.03,01,2020
307,2021M09,NATURAL GAS EXTRACTION,FUEL OILS,27830.0,"GREEN LANTERN, LLC",U.S. FISH AND WILDLIFE SERVICE,5.11,09,2021
311,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
318,2019M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,270472.59,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.65,04,2019
324,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",3450.0,ENVIRONMENTAL MANAGEMENT CONSERVATION OIL CORP.,DEPT OF THE NAVY,2.79,07,2016
325,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,104344.24,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.96,07,2017
326,2019M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,815320.0,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY,2.72,02,2019
331,2016M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,165837.54,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.57,06,2016
340,2019M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.94,03,2019
343,2017M05,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",3875.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,3.12,05,2017
357,2020M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,392.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.79,03,2020
358,2017M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,53539.18,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,3.26,01,2017
359,2020M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.54,12,2020
375,2017M02,NATURAL GAS LIQUID EXTRACTION,"FUELS, SOLID",0.0,SHA DANE CONSULTANTS,BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION,2.82,02,2017
378,2021M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,128955.15,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.56,03,2021
379,2020M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,PROGAS GESELLSCHAFT MIT BESCHRANKTER HAFTUNG & CO. KOMMANDITGESELLSCHAFT,DEPT OF THE AIR FORCE,1.79,03,2020
380,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,8781.0,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.79,07,2016
381,2017M02,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",8896.0,MISCELLANEOUS FOREIGN AWARDEES,"UNITED STATES AGENCY FOR GLOBAL MEDIA, BBG",2.82,02,2017
383,2016M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINT/REPAIR/REBUILD OF EQUIP- FIRE FIGHTING/RESCUE/SAFETY EQUIP; ENVIRON PROTECT EQUIP/MATLS,12103.73,MASSACHUSETTS FIRE TECHNOLOGIES INC,DEPT OF THE AIR FORCE,1.7,03,2016
386,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63,05,2019
391,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,97616.62,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE ARMY,2.25,10,2020
400,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF FUEL SUPPLY FACILITIES,295443.79,"H&O CONTRACTING, LLC",DEPT OF THE ARMY,2.88,08,2017
405,2019M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.58,09,2019
411,2018M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,213166.69,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.67,02,2018
415,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,581533.69,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",2.76,12,2017
417,2021M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.07,02,2021
420,2018M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,41016.23,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.95,06,2018
424,2016M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,40000.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY,1.96,02,2016
437,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,04,2019
438,2016M05,NATURAL GAS LIQUID EXTRACTION,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: MOTOR FREIGHT,21515.9,"GREEN MOUNTAIN TECHNOLOGIES, INC",DEPT OF THE ARMY,1.92,05,2016
440,2018M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,416758.08,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,3.28,10,2018
447,2021M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,294.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.61,04,2021
450,2016M08,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"TWIN EAGLE RESOURCE MANAGEMENT, LLC",DEFENSE LOGISTICS AGENCY,2.79,08,2016
457,2017M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,0.0,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY,2.96,09,2017
469,2017M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,720337.5,"ENSPIRE ENERGY, LLC",DEFENSE LOGISTICS AGENCY,3.26,01,2017
476,2017M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1560.39,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,3.08,04,2017
483,2020M07,NATURAL GAS EXTRACTION,VIDEO RECORDING AND REPRODUCING EQUIPMENT,33033.53,"NEW TECH SOLUTIONS, INC.",DEPT OF THE NAVY,1.74,07,2020
485,2021M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,22895.12,"FLUID SOLUTIONS, LLC","STATE, DEPARTMENT OF",2.56,03,2021
487,2017M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INFORMATION TECHNOLOGY SOFTWARE,3249.97,"CORE ENGINEERED SOLUTIONS, INC.",FEDERAL BUREAU OF INVESTIGATION,3.12,05,2017
490,2017M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,23500.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY,2.94,06,2017
496,2019M02,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",8895.3,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.72,02,2019
497,2016M10,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",59685.27,BSE PERFORMANCE LLC,DEPT OF THE NAVY,2.95,10,2016
498,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,419567.5,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,3.12,05,2017
500,2021M04,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,78852.69,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE ARMY,2.61,04,2021
501,2019M08,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,202042.33,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,2.22,08,2019
511,2019M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,568048.66,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF",3.08,01,2019
512,2016M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,49245100.09,TETRA TECH-MAYTAG AIRCRAFT CORPORATION JOINT VENTURE,DEFENSE LOGISTICS AGENCY,3.58,12,2016
519,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,420003.0,"A2D TECHNOLOGIES, INC.",BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,2.97,09,2016
526,2018M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",30994.13,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.98,09,2018
527,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,409377.02,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.27,01,2016
528,2018M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ROOFING AND SIDING MATERIALS,27062.97,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.83,07,2018
539,2020M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92,09,2020
541,2020M02,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,118463.04,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.92,02,2020
551,2021M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,784.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.89,05,2021
555,2019M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,35596.47,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.33,10,2019
558,2019M05,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",1115.46,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.63,05,2019
572,2019M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.72,02,2019
583,2021M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.11,09,2021
585,2018M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,8800.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY,3.28,10,2018
589,2016M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,241800.0,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,1.9,04,2016
606,2021M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,12974.8,"TIDEWATER, INC.","STATE, DEPARTMENT OF",4.05,08,2021
616,2018M07,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",4775.0,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.83,07,2018
619,2019M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.08,01,2019
629,2019M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,STORAGE TANKS,113960.0,MPC CONTAINMENT SYSTEMS LLC,DEPT OF THE ARMY,2.94,03,2019
654,2020M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,281930.6,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY,1.79,03,2020
670,2020M03,NATURAL GAS EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",126.57,BSE PERFORMANCE LLC,DEPT OF THE ARMY,1.79,03,2020
674,2021M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.61,04,2021
675,2021M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,HOUSEKEEPING- FUELING AND OTHER PETROLEUM,191000.0,"RAINY LAKE OIL, INC.",NATIONAL PARK SERVICE,2.89,05,2021
676,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,490.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,04,2019
695,2018M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,1940612.45,"TIGER NATURAL GAS, INC.",NATIONAL AERONAUTICS AND SPACE ADMINISTRATION,2.8,05,2018
702,2021M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,11306.25,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",5.11,09,2021
703,2021M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98.0,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.11,09,2021
