,Month,naics_description,product_or_service_code_description,total_obligated_amount,recipient_name,funding_sub_agency_name,"Natural gas, US",mm,yyyy
324,2016M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"MAINT/REPAIR/REBUILD OF EQUIPMENT- FUELS, LUBRICANTS, OILS, AND WAXES",3450,ENVIRONMENTAL MANAGEMENT CONSERVATION OIL CORP.,OTHER,2.79,7,2016
325,2017M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- ELECTRIC,104344.24,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.96,7,2017
326,2019M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,815320,"ENSPIRE ENERGY, LLC",OTHER,2.72,2,2019
331,2016M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,165837.54,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,2.57,6,2016
340,2019M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.94,3,2019
343,2017M05,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",3875,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,3.12,5,2017
357,2020M03,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,392,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.79,3,2020
358,2017M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,53539.18,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,3.26,1,2017
359,2020M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.54,12,2020
378,2021M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,128955.15,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.56,3,2021
380,2016M07,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,FUEL OILS,8781,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.79,7,2016
381,2017M02,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",8896,MISCELLANEOUS FOREIGN AWARDEES,OTHER,2.82,2,2017
383,2016M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINT/REPAIR/REBUILD OF EQUIP- FIRE FIGHTING/RESCUE/SAFETY EQUIP; ENVIRON PROTECT EQUIP/MATLS,12103.73,MASSACHUSETTS FIRE TECHNOLOGIES INC,DEPT OF THE AIR FORCE,1.7,3,2016
386,2019M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.63,5,2019
391,2020M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,97616.62,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE ARMY,2.25,10,2020
400,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,REPAIR OR ALTERATION OF FUEL SUPPLY FACILITIES,295443.79,"H&O CONTRACTING, LLC",DEPT OF THE ARMY,2.88,8,2017
405,2019M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.58,9,2019
411,2018M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,213166.69,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.67,2,2018
415,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,581533.69,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",OTHER,2.76,12,2017
417,2021M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.07,2,2021
420,2018M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,41016.23,"CENTERPOINT ENERGY SERVICES, INC.",DEPT OF THE ARMY,2.95,6,2018
424,2016M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,40000,"AMERIGAS PROPANE, L.P.",OTHER,1.96,2,2016
437,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,4,2019
438,2016M05,NATURAL GAS LIQUID EXTRACTION,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: MOTOR FREIGHT,21515.9,"GREEN MOUNTAIN TECHNOLOGIES, INC",DEPT OF THE ARMY,1.92,5,2016
440,2018M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,416758.08,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,3.28,10,2018
447,2021M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,294,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.61,4,2021
469,2017M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,720337.5,"ENSPIRE ENERGY, LLC",OTHER,3.26,1,2017
476,2017M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,1560.39,WESTFA VERTRIEBS- UND VERWALTUNGS-GMBH,DEPT OF THE AIR FORCE,3.08,4,2017
483,2020M07,NATURAL GAS EXTRACTION,VIDEO RECORDING AND REPRODUCING EQUIPMENT,33033.53,"NEW TECH SOLUTIONS, INC.",OTHER,1.74,7,2020
485,2021M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,22895.12,"FLUID SOLUTIONS, LLC","STATE, DEPARTMENT OF",2.56,3,2021
487,2017M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,INFORMATION TECHNOLOGY SOFTWARE,3249.97,"CORE ENGINEERED SOLUTIONS, INC.",OTHER,3.12,5,2017
490,2017M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,23500,"AMERIGAS PROPANE, L.P.",OTHER,2.94,6,2017
496,2019M02,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",8895.3,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.72,2,2019
497,2016M10,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",59685.27,BSE PERFORMANCE LLC,OTHER,2.95,10,2016
498,2017M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,419567.5,"COLONIAL ENERGY, INC.",OTHER,3.12,5,2017
500,2021M04,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,78852.69,"SYMMETRY ENERGY SOLUTIONS, LLC",DEPT OF THE ARMY,2.61,4,2021
501,2019M08,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,202042.33,"COLONIAL ENERGY, INC.",OTHER,2.22,8,2019
511,2019M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,568048.66,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",OTHER,3.08,1,2019
512,2016M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,49245100.09,TETRA TECH-MAYTAG AIRCRAFT CORPORATION JOINT VENTURE,OTHER,3.58,12,2016
519,2016M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,420003,"A2D TECHNOLOGIES, INC.",OTHER,2.97,9,2016
526,2018M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",30994.13,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.98,9,2018
527,2016M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,409377.02,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.27,1,2016
528,2018M07,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,ROOFING AND SIDING MATERIALS,27062.97,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",2.83,7,2018
539,2020M09,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.92,9,2020
541,2020M02,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,118463.04,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,1.92,2,2020
551,2021M05,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,784,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.89,5,2021
555,2019M10,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,35596.47,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.33,10,2019
558,2019M05,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",1115.46,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.63,5,2019
572,2019M02,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,196,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.72,2,2019
583,2021M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.11,9,2021
585,2018M10,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,8800,"AMERIGAS PROPANE, L.P.",OTHER,3.28,10,2018
589,2016M04,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,241800,"COLONIAL ENERGY, INC.",OTHER,1.9,4,2016
606,2021M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MAINTENANCE OF FUEL SUPPLY FACILITIES,12974.8,"TIDEWATER, INC.","STATE, DEPARTMENT OF",4.05,8,2021
616,2018M07,NATURAL GAS LIQUID EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",4775,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY,2.83,7,2018
619,2019M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.08,1,2019
629,2019M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,STORAGE TANKS,113960,MPC CONTAINMENT SYSTEMS LLC,DEPT OF THE ARMY,2.94,3,2019
654,2020M03,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,281930.6,"COLONIAL ENERGY, INC.",OTHER,1.79,3,2020
670,2020M03,NATURAL GAS EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",126.57,BSE PERFORMANCE LLC,DEPT OF THE ARMY,1.79,3,2020
674,2021M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.61,4,2021
675,2021M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,HOUSEKEEPING- FUELING AND OTHER PETROLEUM,191000,"RAINY LAKE OIL, INC.",OTHER,2.89,5,2021
676,2019M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,490,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.65,4,2019
695,2018M05,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,1940612.45,"TIGER NATURAL GAS, INC.",OTHER,2.8,5,2018
702,2021M09,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,11306.25,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF",5.11,9,2021
703,2021M09,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,5.11,9,2021
711,2018M09,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,UTILITIES- GAS,5050.1,"DIRECT ENERGY BUSINESS MARKETING, LLC",DEPT OF THE ARMY,2.98,9,2018
714,2017M05,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"OILS AND GREASES: CUTTING, LUBRICATING, AND HYDRAULIC",11711.1,MISCELLANEOUS FOREIGN AWARDEES,OTHER,3.12,5,2017
716,2019M06,NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,30262.6,"UGI ENERGY SERVICES, LLC",DEPT OF THE ARMY,2.4,6,2019
721,2017M10,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,152767.28,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.86,10,2017
728,2019M09,NATURAL GAS EXTRACTION,UTILITIES- GAS,160091.56,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",OTHER,2.58,9,2019
732,2020M10,NATURAL GAS EXTRACTION,UTILITIES- GAS,316788.02,"SYMMETRY ENERGY SOLUTIONS, LLC",OTHER,2.25,10,2020
749,2017M01,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,354223.32,"ATMOS ENERGY MARKETING, LLC",DEPT OF THE ARMY,3.26,1,2017
750,2017M08,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,12478.68,"J & K SERVICES, LLC",OTHER,2.88,8,2017
753,2018M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",63606.19,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.95,6,2018
755,2017M12,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,535799.09,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE,2.76,12,2017
758,2019M06,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,2.4,6,2019
761,2020M12,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"QUALITY CONTROL- FUELS, LUBRICANTS, OILS, AND WAXES",7196.41,"JF ACQUISITION, LLC",OTHER,2.54,12,2020
762,2017M02,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,207896.42,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY,2.82,2,2017
768,2018M03,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,132898.38,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE,2.7,3,2018
781,2018M06,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,2099.16,MISCELLANEOUS FOREIGN AWARDEES,DEPT OF THE ARMY,2.95,6,2018
785,2019M01,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.08,1,2019
791,2020M04,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,1.74,4,2020
803,2018M12,NATURAL GAS LIQUID EXTRACTION,GASES: COMPRESSED AND LIQUEFIED,98,"GIGA, INC.",FEDERAL ACQUISITION SERVICE,3.98,12,2018
810,2021M03,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,FUEL OILS,42024.18,"COLONIAL FUEL AND LUBRICANT SERVICES, INC.",OTHER,2.56,3,2021
