total_obligated_amount,Month,product_or_service_code_description,naics_description,recipient_name,funding_sub_agency_name
360.0,2020M10,"BEARINGS, ANTIFRICTION, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,JAMAICA BEARINGS CO. INC.,DEFENSE LOGISTICS AGENCY
568048.66,2019M01,UTILITIES- GAS,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC","VETERANS AFFAIRS, DEPARTMENT OF"
49245100.09,2016M12,MAINTENANCE OF FUEL SUPPLY FACILITIES,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,TETRA TECH-MAYTAG AIRCRAFT CORPORATION JOINT VENTURE,DEFENSE LOGISTICS AGENCY
5136.0,2019M02,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,GALAXY DIE & ENGINEERING INC,DEFENSE LOGISTICS AGENCY
11181.82,2020M09,MAINTENANCE OF OTHER WAREHOUSE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
5643.0,2016M06,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,M.S. AEROSPACE INC.,DEFENSE LOGISTICS AGENCY
11213.0,2020M01,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",GOLD ORE MINING,MT. BAKER MINING AND METALS LLC,DEPT OF THE AIR FORCE
19172.93,2017M08,MISCELLANEOUS SERVICE AND TRADE EQUIPMENT,CONSTRUCTION SAND AND GRAVEL MINING,FOREIGN AWARDEES (UNDISCLOSED),DEPT OF THE ARMY
3090.5,2018M07,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
420003.0,2016M09,SPECIAL STUDIES/ANALYSIS- SCIENTIFIC DATA,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"A2D TECHNOLOGIES, INC.",BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT
1043.35,2017M02,MAINTENANCE OF HIGHWAYS/ROADS/STREETS/BRIDGES/RAILWAYS,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"CALHOUN QUARRY, INCORPORATED",U.S. FISH AND WILDLIFE SERVICE
15025.0,2020M05,ARCHITECT AND ENGINEERING- CONSTRUCTION: OFFICE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,INDIAN OCEAN PROPERTIES LLC,"STATE, DEPARTMENT OF"
41325.58,2018M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"APPALACHIAN AGGREGATES, LLC",FOREST SERVICE
0.0,2016M10,CONSTRUCTION OF OTHER INDUSTRIAL BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2280.0,2018M07,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,GALAXY DIE & ENGINEERING INC,DEFENSE LOGISTICS AGENCY
261.0,2016M08,O-RING,SUPPORT ACTIVITIES FOR COAL MINING,"M.D.F. TECHNOLOGIES, INC.",DEFENSE LOGISTICS AGENCY
30994.13,2018M09,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE AIR FORCE
409377.02,2016M01,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"SAGE ENERGY TRADING, LLC",DEPT OF THE AIR FORCE
27062.97,2018M07,ROOFING AND SIDING MATERIALS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
130178.4,2020M11,"MINERALS, NATURAL AND SYNTHETIC",OTHER CHEMICAL AND FERTILIZER MINERAL MINING,"PALA WOOD SERVICES COMPANY, INC.",DEPT OF THE ARMY
100.1,2021M08,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"MC KEOWN, ROBERT CO INC",DEFENSE LOGISTICS AGENCY
690.2,2020M05,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
140947.17,2019M03,EQUIPMENT AND MATERIALS TESTING- MISCELLANEOUS,SUPPORT ACTIVITIES FOR NONMETALLIC MINERALS (EXCEPT FUELS),"HEESONG GEOTEK CO., LTD.",DEPT OF THE ARMY
7650.0,2018M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
4779.63,2016M09,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,"FREUND DE EL SALVADOR, S.A. DE C.V.","STATE, DEPARTMENT OF"
17498.17,2017M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"BOXLEY AGGREGATES OF WEST VIRGINIA, L.L.C.",FOREST SERVICE
1200.0,2018M06,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,EQUIPMENT PARTS SALES,DEFENSE LOGISTICS AGENCY
0.0,2019M11,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"HYDRAULICS INTERNATIONAL, INC.",DEFENSE LOGISTICS AGENCY
768.6,2019M04,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,"BRYKA SKYSTOCKS, LLC",DEFENSE LOGISTICS AGENCY
98.0,2020M09,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
524.7,2016M12,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,LYNN ELECTRONICS CORP.,DEFENSE LOGISTICS AGENCY
118463.04,2020M02,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
6832.87,2017M11,CONSTRUCTION OF MAINTENANCE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
8147.3,2020M01,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,"GENERAL DYNAMICS-OTS, INC.",DEFENSE LOGISTICS AGENCY
6840.15,2016M03,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"C.C. MEISEL CO., INC.",FEDERAL PRISON SYSTEM
4250.99,2016M05,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
1399.41,2020M12,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
490.0,2017M12,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
15126.68,2017M09,CONSTRUCTION OF FAMILY HOUSING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
550.0,2021M03,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,PRO STEEL,DEFENSE LOGISTICS AGENCY
33969.48,2019M09,CONSTRUCTION OF MAINTENANCE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
784.0,2021M05,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
233.0,2018M03,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
2954.31,2020M09,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
174169.4,2018M07,HOSE AND FLEXIBLE TUBING,CRUDE PETROLEUM EXTRACTION,"U-NEX URAKAWA CO., LTD.",DEPT OF THE NAVY
35596.47,2019M10,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"CONSTELLATION NEWENERGY - GAS DIVISION, LLC",DEPT OF THE ARMY
0.0,2020M03,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,STONE SAND CO INC,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
0.0,2017M02,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,NEW IRAQ AHD COMPANY,DEPT OF THE ARMY
1115.46,2019M05,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",NATURAL GAS LIQUID EXTRACTION,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY
40.35,2016M07,KNOBS AND POINTERS,SUPPORT ACTIVITIES FOR COAL MINING,HOWCO DISTRIBUTING CO.,DEFENSE LOGISTICS AGENCY
908.51,2019M06,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"SPEC TECH USA, INC.",DEFENSE LOGISTICS AGENCY
11597.54,2019M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,JJC RESOURCES LLC,NATIONAL PARK SERVICE
0.0,2016M03,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,PRIME ONE GENERAL TRADING & CONTRACTING CO. WLL,DEPT OF THE AIR FORCE
14740.2,2019M05,GEOPHYSICAL INSTRUMENTS,SUPPORT ACTIVITIES FOR COAL MINING,"STRATA MINE SERVICES, LLC",CENTERS FOR DISEASE CONTROL AND PREVENTION
1153.81,2021M09,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
37536.0,2017M09,"MINERAL CONSTRUCTION MATERIALS, BULK",DIMENSION STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,FOREST SERVICE
324.39,2018M09,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,TNL SALES LLC,DEFENSE LOGISTICS AGENCY
0.0,2016M07,"MINERAL CONSTRUCTION MATERIALS, BULK",ALL OTHER NONMETALLIC MINERAL MINING,DOU'A AL-KUWAIT,DEPT OF THE AIR FORCE
662.4,2018M01,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
3000.0,2017M10,"MINERALS, NATURAL AND SYNTHETIC",OTHER CHEMICAL AND FERTILIZER MINERAL MINING,"PEKIN, CITY OF",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
34160.0,2016M08,"MINERALS, NATURAL AND SYNTHETIC",CONSTRUCTION SAND AND GRAVEL MINING,AMERICAN CLASSIC CONSTRUCTION INC.,DEPT OF THE ARMY
170797.23,2021M03,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"BAYER CONSTRUCTION COMPANY, INC.",DEPT OF THE ARMY
196.0,2019M02,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
9295.0,2017M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"DAD'S ENTERPRISES, INC.",FOREST SERVICE
0.0,2021M07,SCAFFOLDING EQUIPMENT AND CONCRETE FORMS,CONSTRUCTION SAND AND GRAVEL MINING,FARECOM,"STATE, DEPARTMENT OF"
20897.55,2017M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,ECOLOGY MIR GROUP LLC,NATIONAL PARK SERVICE
240000.0,2018M09,SUPPORT- PROFESSIONAL: OTHER,DRILLING OIL AND GAS WELLS,GLOWNY INSTYTUT GORNICTWA,CENTERS FOR DISEASE CONTROL AND PREVENTION
422.56,2018M08,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
98882.26,2017M09,CONSTRUCTION OF RECREATIONAL BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
73976.76,2019M04,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
1351.2,2019M11,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"J.G.B. ENTERPRISES, INC.",DEFENSE LOGISTICS AGENCY
242369.0,2018M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,"YALE CREEK, INC.",DEPT OF THE ARMY
205.82,2016M11,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"HERNDON PRODUCTS, LLC",DEFENSE LOGISTICS AGENCY
98.0,2021M09,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
20427.76,2018M07,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,ELLENSBURG CEMENT PRODUCTS INC.,FOREST SERVICE
8800.0,2018M10,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"AMERIGAS PROPANE, L.P.",DEPT OF THE NAVY
20952.45,2016M09,CONSTRUCTION OF FAMILY HOUSING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,"PWS INTERNATIONAL, INC.","STATE, DEPARTMENT OF"
30278.33,2019M12,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,BARNREUTHER+DEUERLEIN SCHOTTERWERKE GMBH & CO.KG,DEPT OF THE ARMY
404.7,2018M02,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"SUBTERRA GEOTECHNICAL SOLUTIONS, LLC",DEFENSE LOGISTICS AGENCY
241800.0,2016M04,GASES: COMPRESSED AND LIQUEFIED,CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,"COLONIAL ENERGY, INC.",DEFENSE LOGISTICS AGENCY
9369.2,2016M01,CONSTRUCTION OF FAMILY HOUSING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
271424.0,2021M09,OTHER QC/TEST/INSPECT- WATER PURIFICATION AND SEWAGE TREATMENT EQUIPMENT,DRILLING OIL AND GAS WELLS,WOODROW SAPP WATERWELL CONTRACTOR INC,DEPT OF THE AIR FORCE
813.8,2018M05,"BEARINGS, ANTIFRICTION, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"M & M AEROSPACE HARDWARE, INC.",DEFENSE LOGISTICS AGENCY
0.0,2016M04,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,GOLDEN RELIEF RESOURCES LTD,DEPT OF THE NAVY
79.23,2018M03,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,BASIC RUBBER AND PLASTICS CO.,DEFENSE LOGISTICS AGENCY
759.68,2018M07,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
3774.12,2016M03,ARCHITECT AND ENGINEERING- CONSTRUCTION: FAMILY HOUSING FACILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,AGENCY FOR INTERNATIONAL DEVELOPMENT
1372.56,2021M05,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"OSHKOSH DEFENSE, LLC",DEFENSE LOGISTICS AGENCY
15429.12,2021M08,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
0.0,2018M03,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,MOTORCITY SOLAR ENERGY INC.,DEPT OF THE ARMY
103435.0,2020M09,CONSTRUCTION OF OTHER RESIDENTIAL BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
142994.0,2018M02,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,GECOBA,DEPT OF THE AIR FORCE
42240.0,2017M01,MISCELLANEOUS POWER TRANSMISSION EQUIPMENT,SUPPORT ACTIVITIES FOR COAL MINING,TRIMAN INDUSTRIES INC,DEFENSE LOGISTICS AGENCY
81209.62,2019M09,CONSTRUCTION OF MAINTENANCE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
2075.0,2020M05,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"T. R. MACHINE, INC.",DEFENSE LOGISTICS AGENCY
149923.86,2016M02,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",DIMENSION STONE MINING AND QUARRYING,"RICHARD J. MERTENS, INC.",DEPT OF THE ARMY
12974.8,2021M08,MAINTENANCE OF FUEL SUPPLY FACILITIES,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,"TIDEWATER, INC.","STATE, DEPARTMENT OF"
2254.0,2019M04,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"NEW ENTERPRISE STONE & LIME CO., INC.",DEPT OF THE ARMY
13093.7,2018M07,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",DRILLING OIL AND GAS WELLS,"KEJR, INC.",ENVIRONMENTAL PROTECTION AGENCY
17679.01,2017M12,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",DIMENSION STONE MINING AND QUARRYING,DAMON PURSELL CONSTRUCTION COMPANY,DEPT OF THE ARMY
98000.0,2021M03,NATURAL RESOURCES/CONSERVATION- OTHER,CONSTRUCTION SAND AND GRAVEL MINING,"GOLAT & ENGEL CUSTOM GRAVEL CRUSHING, INC.",FOREST SERVICE
500.0,2016M06,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",DEFENSE LOGISTICS AGENCY
126125.0,2020M09,NATURAL RESOURCES/CONSERVATION- OTHER,CONSTRUCTION SAND AND GRAVEL MINING,PITLIK & WICK INC,FOREST SERVICE
15000.0,2019M12,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"WILLARD QUARRIES, INC.",DEPT OF THE ARMY
218195.77,2018M09,MISCELLANEOUS CONSTRUCTION MATERIALS,OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"STRUTNER, JESSICA",DEPT OF THE ARMY
17000.0,2017M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,PATRICK ENVIRONMENTAL GROUP,NATIONAL PARK SERVICE
4775.0,2018M07,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",NATURAL GAS LIQUID EXTRACTION,"AMERIGAS PROPANE, L.P.",DEPT OF THE ARMY
0.0,2019M07,MISCELLANEOUS CHEMICAL SPECIALTIES,OTHER CHEMICAL AND FERTILIZER MINERAL MINING,CREST INDUSTRIAL CHEMICALS INC,FEDERAL ACQUISITION SERVICE
406.0,2017M02,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"RUDOLPH PRECISION PRODUCTS, L.L.C.",DEFENSE LOGISTICS AGENCY
98.0,2019M01,GASES: COMPRESSED AND LIQUEFIED,NATURAL GAS LIQUID EXTRACTION,"GIGA, INC.",FEDERAL ACQUISITION SERVICE
1376.1,2018M07,"BEVERAGES, NONALCOHOLIC","POTASH, SODA, AND BORATE MINERAL MINING",ARMY & AIR FORCE EXCHANGE SERVICE,DEFENSE LOGISTICS AGENCY
185163.67,2016M05,"MINERAL CONSTRUCTION MATERIALS, BULK",ALL OTHER NONMETALLIC MINERAL MINING,PRIME ONE GENERAL TRADING & CONTRACTING CO. WLL,DEPT OF THE AIR FORCE
157355.87,2021M08,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,FERRELECTRICOS MASAN S A S,"STATE, DEPARTMENT OF"
35032.56,2016M08,CONSTRUCTION OF MAINTENANCE BUILDINGS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
109.65,2018M06,PACKING AND GASKET MATERIALS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
1482.23,2020M03,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
37.8,2021M01,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,ALLIED TOOLS INC.,DEFENSE LOGISTICS AGENCY
440310.0,2021M02,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"SKYLINE MATERIALS, LTD.",U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
0.0,2017M09,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,"HOPKINS SAND & GRAVEL, INC.",NATIONAL PARK SERVICE
113960.0,2019M03,STORAGE TANKS,SUPPORT ACTIVITIES FOR OIL AND GAS OPERATIONS,MPC CONTAINMENT SYSTEMS LLC,DEPT OF THE ARMY
1929.9,2019M01,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
2857.37,2016M12,"BEARINGS, PLAIN, UNMOUNTED",SUPPORT ACTIVITIES FOR COAL MINING,"T. R. MACHINE, INC.",DEFENSE LOGISTICS AGENCY
225.0,2018M07,"HARDWARE, COMMERCIAL",SUPPORT ACTIVITIES FOR COAL MINING,TRITEK DEFENSE PRODUCTS,DEFENSE LOGISTICS AGENCY
48255.28,2016M11,"MINING, ROCK DRILLING, EARTH BORING, AND RELATED EQUIPMENT",DIMENSION STONE MINING AND QUARRYING,"RICHARD J. MERTENS, INC.",U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
18598.0,2020M09,INFORMATION TECHNOLOGY INPUT/OUTPUT AND STORAGE DEVICES,CRUDE PETROLEUM EXTRACTION,PKJ INTERNATIONAL LLC,DEPT OF THE NAVY
1673.0,2018M09,"MINERAL CONSTRUCTION MATERIALS, BULK",OTHER CRUSHED AND BROKEN STONE MINING AND QUARRYING,GREEN DREAM INTERNATIONAL LLC,DEPT OF THE ARMY
131.3,2020M02,"NAILS, MACHINE KEYS, AND PINS",SUPPORT ACTIVITIES FOR COAL MINING,"SZY HOLDINGS, LLC",DEFENSE LOGISTICS AGENCY
7500.0,2016M03,MISCELLANEOUS CONSTRUCTION MATERIALS,INDUSTRIAL SAND MINING,"THOMAS KEEGAN & SONS, INC.","VETERANS AFFAIRS, DEPARTMENT OF"
3866.25,2020M05,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"NEW ENTERPRISE STONE & LIME CO., INC.",DEPT OF THE ARMY
6249.1,2018M01,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"GULF COAST LIMESTONE, INC.",U.S. FISH AND WILDLIFE SERVICE
191860.0,2017M06,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,AURORA STARCO COMPANY LLC,U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
223407.03,2021M08,"MINERAL CONSTRUCTION MATERIALS, BULK",CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING,"NEXT GENERATION LOGISTICS, LLC",U.S. ARMY CORPS OF ENGINEERS - CIVIL PROGRAM FINANCING ONLY
304370.0,2017M06,MISCELLANEOUS SERVICE AND TRADE EQUIPMENT,CONSTRUCTION SAND AND GRAVEL MINING,NEW IRAQ AHD COMPANY,DEPT OF THE ARMY
4780.05,2017M09,MAINTENANCE OF OTHER UTILITIES,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
11185.02,2020M07,MISCELLANEOUS ELECTRICAL AND ELECTRONIC COMPONENTS,SUPPORT ACTIVITIES FOR COAL MINING,"AVIATION DEVICES AND ELECTRONIC COMPONENTS, L.L.C.",DEFENSE LOGISTICS AGENCY
42177.22,2016M02,MISCELLANEOUS CONSTRUCTION EQUIPMENT,CONSTRUCTION SAND AND GRAVEL MINING,DOU'A AL-KUWAIT,DEPT OF THE AIR FORCE
0.0,2017M09,"MINERAL CONSTRUCTION MATERIALS, BULK",CONSTRUCTION SAND AND GRAVEL MINING,DOUBLE T MINERAL SALES LTD. LLC,DEPT OF THE ARMY
32.87,2017M06,MISCELLANEOUS CONSTRUCTION MATERIALS,CONSTRUCTION SAND AND GRAVEL MINING,MISCELLANEOUS FOREIGN AWARDEES,"STATE, DEPARTMENT OF"
